"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","gdp_pc","X2019","is_island"
"COD",180,18,2020-04-09,30,86790567,0.00207395810653017,0.000207395810653017,10,26.5,24,25.1,31.3,11.8,45.9,20.1,580.7168672,1.13,FALSE
"COG",60,5,2020-04-13,30,5380508,0.0111513634028608,0.000929280283571737,8.33333333333333,23.6,17.6,7,23.6,6.3,56.8,38.1,2279.969131,3.11,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1406,32,2020-04-04,30,50339443,0.0279303845296818,0.000635684427418078,2.27596017069701,44.2,37.2,41.7,43.5,34.3,60.1,51,6428.676206,7.13,FALSE
"COM",87,2,2020-05-29,30,850886,0.102246364377837,0.00235049113512268,2.29885057471264,27.2,19.2,23.2,27.1,9.4,51.6,36.5,1370.148207,3.15,TRUE
"CPV",58,1,2020-04-18,30,549935,0.105467009737514,0.00181839671961232,1.72413793103448,29.3,27.9,9.3,32.7,16.1,33.9,67.4,3603.781793,7.78,TRUE
"CRI",435,2,2020-04-04,30,5047561,0.086180236355737,0.000396230971750515,0.459770114942529,45.1,44.2,56,36.6,24.8,43.1,71.7,12243.81143,8.13,FALSE
"CUB",564,15,2020-04-10,30,11333483,0.0497640487041804,0.00132351193362182,2.65957446808511,35.2,41.4,10.5,25.9,37.4,49.8,57.8,NA,2.84,TRUE
"CYP",494,9,2020-04-07,30,1198575,0.412156102037837,0.00750891683874601,1.82186234817814,43,46.4,44.9,33.9,21.9,49.1,69.6,27858.371,7.59,TRUE
"CZE",3001,23,2020-03-30,30,10669709,0.281263528368018,0.00215563517243066,0.766411196267911,52,51.1,50.7,46.6,37.4,58.9,74,23494.5962,7.69,FALSE
"DEU",17,0,2020-02-25,30,83132799,0.000204492092224634,0,0,66,66.5,84.6,54.8,48.2,61.9,82.3,46445.2491,8.68,FALSE
"DJI",591,2,2020-04-16,30,973560,0.60705041291754,0.00205431611816426,0.338409475465313,23.2,16.3,17,23.2,9.3,36.3,42.7,3414.92487,2.77,FALSE
"DMA",16,0,2020-04-20,30,71808,0.222816399286988,0,0,24,11.2,10.7,20.9,8.5,49.3,54,8110.568512,NA,TRUE
"DNK",2200,52,2020-03-27,30,5818553,0.378100878345527,0.00893692985180336,2.36363636363636,70.4,72.9,86,58.4,63.8,62.6,80.3,60170.34264,9.22,FALSE
"DOM",901,42,2020-03-30,30,10738958,0.0839001325826956,0.00391099397166839,4.661487236404,38.3,30.5,37.1,47.3,16.1,43.5,59.3,8282.116359,6.54,TRUE
