"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment"
"KEN",700,33,2020-05-11,60,52573973,0.0133145729732086,0.000627687011594121,4.71428571428571,47.1,45.9,68.6,37.1,20.7,67.1,40.7
"KGZ",1117,14,2020-05-16,60,6456900,0.172993232046338,0.00216822314113584,1.25335720680394,49.3,29.7,64.7,49.9,29.8,64.8,56.1
"KHM",96,0,2020-03-26,60,16486542,0.00582293121262179,0,0,39.2,28.6,57.7,36.7,12,60,38.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNA",15,0,2020-05-23,60,52834,0.28390808948783,0,0,26.2,8.7,15,26.2,7.1,46.4,64.8
"KOR",8961,111,2020-03-22,60,51709098,0.173296389737837,0.00214662417820555,1.2387010378306,70.2,57.3,92.1,71.5,58.7,64.3,74.1
"KWT",2399,14,2020-04-23,60,4207083,0.570228826006047,0.003327721368939,0.583576490204252,46.1,40.9,47.5,50.2,36.5,42.2,61.5
"LAO",19,0,2020-05-22,60,7169455,0.00265013170457169,0,0,43.1,18.9,70.4,52,19.4,45.9,46.8
"LBN",677,21,2020-04-20,60,6855713,0.0987497580485064,0.00306313872824023,3.10192023633678,43.1,27.3,62,47.9,23.8,49.3,45.5
"LBR",215,20,2020-05-14,60,4937374,0.0435454150323634,0.00405073628208031,9.30232558139535,35.1,14.3,29.1,40.5,19.9,71.5,37.4
"LBY",72,3,2020-05-22,60,6777452,0.0106234614424418,0.000442644226768408,4.16666666666667,25.7,23.2,36,18.9,9.1,31,39
"LCA",18,0,2020-05-12,60,182790,0.0984736582964057,0,0,35.3,22.8,30.3,42.4,6.3,54.7,62.1
"LIE",82,1,2020-05-02,60,38019,2.15681632867777,0.0263026381546069,1.21951219512195,43.5,43.1,22.9,34.6,31.1,56.9,87.9
"LKA",106,0,2020-03-26,60,21803000,0.00486171627757648,0,0,33.9,24.2,43,26.4,16.9,41.7,56.7
"LSO",184,1,2020-07-11,60,2125268,0.0865773163666888,0.000470528893297222,0.543478260869565,30.2,24.4,18,33.2,20.6,45.9,44.5
"LTU",1449,41,2020-04-27,60,2786844,0.519942989273888,0.0147119824432225,2.82953761214631,55,43.5,81.5,33.9,34.4,72.1,67.8
"LUX",3741,89,2020-04-28,60,619896,6.03488327074219,0.143572470220811,2.37904303662122,43.8,31,41.7,27.3,37.9,52.8,84.7
"LVA",858,15,2020-04-30,60,1912789,0.448559668630466,0.00784195224878437,1.74825174825175,62.9,56,97.3,54.7,47.3,51.1,67.2
"MAR",4423,170,2020-04-30,60,36471769,0.121271880176692,0.00466113941443312,3.84354510513226,43.7,34.6,56.8,51.5,29.5,32.7,55.9
"MCO",95,4,2020-04-28,60,38964,2.43814803408274,0.102658864592958,4.21052631578947,32.7,11.1,23.3,26,31,35.3,83.1
"MDA",4476,143,2020-05-06,60,2657637,1.68420292161796,0.0538071978979823,3.19481680071492,42.9,46.5,42.9,31.1,36.4,56.7,47.1
"MDG",322,1,2020-05-18,60,26969307,0.0119394984824786,3.70791878337845e-05,0.31055900621118,40.1,30.1,41.9,57.8,19.2,55.4,32.4
"MDV",617,2,2020-05-06,60,530953,1.16206142539923,0.0037668117516993,0.324149108589951,33.8,21.8,25.5,40.2,18.1,45.5,58.3
"MEX",15529,1434,2020-04-27,60,127575529,0.121723971060312,0.0112404001867788,9.2343357589027,57.6,45.5,71.2,50.8,46.9,73.9,57
"MHL",4,0,2020-12-26,60,58791,0.068037624806518,0,0,18.2,7,4.4,18.1,7.2,30.7,52.3
"MKD",1367,59,2020-04-25,60,2083459,0.656120422816096,0.0283182918406362,4.31602048280907,39.1,37,41.7,33.1,25.4,44.8,57.7
"MLI",1015,63,2020-05-23,60,19658031,0.0516328415597676,0.0032047970623304,6.20689655172414,29,23.4,25.5,29.5,13,53.2,32.1
"MLT",482,5,2020-05-05,60,502653,0.958912012859766,0.00994722005041251,1.03734439834025,37.3,35,32.9,22.4,23.6,49.1,72.3
"MMR",203,6,2020-05-25,60,54045420,0.00375609996184691,0.00011101773286247,2.95566502463054,43.4,30.3,59.2,50.4,19.5,59.1,38.2
"MNE",324,9,2020-05-15,60,622137,0.520785614744019,0.0144662670762228,2.77777777777778,43.7,36.5,55.4,32.1,29.5,53.5,58.8
"MNG",42,0,2020-05-08,60,3225167,0.0130225814663241,0,0,49.5,37.6,77.3,37.8,30.8,52.6,60.8
"MOZ",156,0,2020-05-20,60,30366036,0.00513731854892091,0,0,28.1,26.5,29.3,18.2,17,43.8,38.4
"MRT",9,1,2020-05-12,60,4525696,0.00198864439856323,0.000220960488729247,11.1111111111111,27.5,9.9,39.5,24.2,17,36.3,39.5
"MUS",332,10,2020-05-16,60,1265711,0.262303163992412,0.00790069771061482,3.01204819277108,34.9,27.3,42.3,34.9,15.1,29.1,66.2
"MWI",284,4,2020-05-31,60,18628747,0.0152452550888152,0.000214721902659368,1.40845070422535,28,25.5,23.3,20.7,15.3,50.7,37.6
"MYS",1624,16,2020-03-24,60,31949777,0.0508297757446007,0.0005007859679271,0.985221674876847,62.2,51.4,73.2,61.3,57.1,58.5,72
"NAM",16,0,2020-05-12,60,2494530,0.00641403390618674,0,0,35.6,32,46,30.9,10.1,44.2,54.7
"NER",909,55,2020-05-18,60,23310715,0.0389949428835623,0.00235942998745427,6.05060506050605,32.2,32.5,44.4,20.1,21.9,45.5,28.5
"NGA",1337,40,2020-04-27,60,200963599,0.00665294613876815,0.00019904102135432,2.99177262528048,37.8,26.3,44.6,43.8,19.9,56.7,33.7
"NIC",25,8,2020-05-17,60,6545502,0.00381941675367298,0.00122221336117535,32,43.1,41.7,39.9,39.2,45.9,51.8,41
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLD",38040,4491,2020-04-26,60,17332850,2.19467658232778,0.259103378844218,11.8059936908517,75.6,73.7,86,79.1,70.2,61.1,81.7
"NOR",7499,201,2020-04-25,60,5347896,1.40223370087975,0.0375848745001773,2.68035738098413,64.6,68.2,58.6,58.2,58.5,64.4,87.1
"NPL",2,0,2020-03-24,60,28608710,6.99087795290315e-05,0,0,35.1,43.7,22,41.9,28.1,33.5,44.7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZL",1472,19,2020-04-27,60,4917000,0.299369534268863,0.00386414480374212,1.29076086956522,54,55,36.7,58.1,45.2,59.4,77.2
"OMN",1716,9,2020-04-23,60,4974986,0.344925593760465,0.00180905031692551,0.524475524475524,43.1,35.3,41.1,41.6,25.4,56,65.7
"PAK",12723,269,2020-04-24,60,216565318,0.0587490190834712,0.00124211947916794,2.114281222982,35.5,24.1,41.7,38.7,19.9,49.7,38.7
"PAN",8070,231,2020-05-08,60,4246439,1.90041585431935,0.0543985207370222,2.86245353159851,43.7,40.5,44.6,46.4,35.1,35.3,63.8
"PER",47372,1344,2020-05-04,60,32510453,1.45713134172569,0.0413405497610261,2.83711897323313,49.2,43.2,38.3,51.7,45,63,57.7
"PHL",1418,71,2020-03-29,60,108116615,0.0131154679602205,0.000656698325229661,5.00705218617771,47.6,38.5,63.6,43.8,38.2,49.8,50.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNG",8,0,2020-05-18,60,8776109,0.000911565706396764,0,0,27.8,10,31.8,34.8,11.6,41.4,38.7
"POL",13375,664,2020-05-02,60,37970874,0.352243669713792,0.0174870876029875,4.96448598130841,55.4,50.9,61.7,47.5,48.9,58.9,67.9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRT",25045,989,2020-04-30,60,10269417,2.43879472417957,0.096305369623222,3.94889199441006,60.3,52.8,50.5,67.7,55,63,77.3
"PRY",440,10,2020-05-06,60,7044636,0.0624588694149705,0.00141951975943115,2.27272727272727,35.7,39.5,34.6,26.8,28.2,35.3,55.9
"QAT",11921,10,2020-04-28,60,2832067,4.20929307110319,0.00353098990949014,0.0838855800687862,41.2,33.1,32.7,48,38.8,32.7,68
"ROU",10635,601,2020-04-25,60,19356544,0.549426591854414,0.0310489310488484,5.65115185707569,45.8,48.9,42.8,35.3,36.7,52.4,65.7
"RUS",1836,9,2020-03-30,60,144373535,0.0127170121587727,6.23382948959447e-05,0.490196078431373,44.3,42.9,34.1,50.1,37.6,52.6,51.4
"RWA",286,0,2020-05-12,60,12626950,0.0226499669358,0,0,34.2,33.8,36,31.9,24.1,38,43.6
"SAU",22753,162,2020-04-30,60,34268528,0.663961988679525,0.004727369672838,0.711994022766229,49.3,34.3,74.4,32.6,44.8,50.6,59.7
"SDN",1526,74,2020-05-11,60,42813238,0.0356431812048414,0.00172843735855718,4.84927916120577,26.2,31.8,7,37.3,14.3,37.6,33
"SEN",933,9,2020-04-30,60,16296364,0.0572520348710915,0.000552270432840111,0.964630225080386,37.9,25.4,35.1,45.4,18.5,57,48.2
"SGP",455,2,2020-03-22,60,5703569,0.079774611300398,0.000350657632089662,0.43956043956044,58.7,56.2,64.5,64.6,41.4,47.3,80.9
"SLB",17,0,2020-12-10,60,669823,0.025379839151537,0,0,20.7,8.4,8.7,18.7,12.4,40.1,44
"SLE",829,45,2020-05-29,60,7813215,0.106102289518463,0.00575947289304083,5.42822677925211,38.2,25,45.8,44.8,25.3,52.8,32.8
"SLV",1338,30,2020-05-17,60,6453553,0.207327653464688,0.00464860209562082,2.24215246636771,44.2,22.1,73.9,42.1,25.2,50.5,48
"SMR",538,41,2020-04-26,60,33860,15.888954518606,1.21086828115771,7.62081784386617,31.1,22.3,33.9,20.8,16.2,25,80.5
"SOM",1284,53,2020-05-14,60,15442905,0.0831449782278658,0.00343199676485739,4.12772585669782,16.6,15.8,21.5,17.4,0.3,28.5,15.9
"SRB",9557,197,2020-05-04,60,6944975,1.37610286574106,0.0283658328503702,2.06131631265041,52.3,48.8,46.2,55.1,56.6,49.7,59.2
"SSD",994,10,2020-06-03,60,11062113,0.0898562507904231,0.000903986426463009,1.00603621730382,21.7,22.6,15.9,24.3,13.6,32.6,22.1
"STP",485,12,2020-06-04,60,215056,2.25522654564393,0.0557994196860353,2.47422680412371,17.7,8.2,2.7,18.7,7.2,33.5,44.6
"SUR",10,1,2020-05-12,60,581363,0.0172009570612509,0.00172009570612509,10,36.5,23.3,36.7,47.3,16.5,44.8,52.7
"SVK",1413,25,2020-05-04,60,5454073,0.259072439991177,0.00458373036077808,1.76928520877565,47.9,53.5,46,34.1,37.9,52.8,71.5
"SVN",1439,96,2020-05-03,60,2087946,0.689194069195276,0.0459782005856473,6.67129951355108,67.2,67,73.7,63.3,54.9,72.1,73.7
"SWE",4834,385,2020-03-31,60,10285453,0.469984161125426,0.037431506419795,7.96441870086885,72.1,81.1,86,62.8,49.3,71.3,84.5
"SWZ",184,2,2020-05-12,60,1148130,0.160260597667512,0.00174196301812513,1.08695652173913,31.1,35.7,25.5,29.3,6.5,46.6,48.9
"SYC",11,0,2020-05-12,60,97625,0.112676056338028,0,0,31.9,9.8,33.4,20.7,19.9,47.1,71.1
"SYR",58,3,2020-05-20,60,17070135,0.00339774700082923,0.00017574553452565,5.17241379310345,19.9,18.4,2.7,23,24.4,26.1,29.6
"TCD",503,53,2020-05-17,60,15946876,0.0315422280827919,0.0033235349669741,10.5367793240557,28.8,23.2,36.5,34.5,6.6,46.2,23.7
"TGO",126,9,2020-05-04,60,8082366,0.0155894944623889,0.00111353531874206,7.14285714285714,32.5,23.7,46.8,30.4,10,46.3,37.6
"THA",599,1,2020-03-22,60,69625582,0.00860315968346232,1.43625370341608e-05,0.1669449081803,73.2,75.7,81,78.6,70.5,70.9,56.4
"TJK",5849,52,2020-06-28,60,9321018,0.627506566342861,0.00557878978454928,0.889040861685758,32.3,26.7,24.1,42.9,20.5,42.6,38.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TLS",24,0,2020-05-20,60,1293119,0.0185597767877512,0,0,26,18.2,25.7,30.2,9.7,33.9,41.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",116,8,2020-05-12,60,1394973,0.0831557313295669,0.00573487802272876,6.89655172413793,36.6,28.1,14.7,43.2,23.7,55.1,64.4
"TUN",1009,42,2020-05-02,60,11694719,0.0862782594434291,0.00359136461508823,4.16253716551041,33.7,31.7,26.3,39.1,24,31,55.7
"TUR",137115,3739,2020-05-09,60,83429615,1.64348115474343,0.0448162202354644,2.72690806986836,52.4,56.9,45.6,49,45.7,64.3,56.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWN",169,2,2020-03-22,60,NA,NA,NA,1.18343195266272,NA,NA,NA,NA,NA,NA,NA
"TZA",509,21,2020-05-14,60,58005463,0.00877503555139281,0.000362034865578092,4.12573673870334,36.4,33.5,42,36.8,8.2,55.4,44.7
"UGA",260,0,2020-05-19,60,44269594,0.00587310559026134,0,0,44.3,42.7,50.3,56.5,11.6,65.4,35.5
"UKR",10861,272,2020-05-01,60,44385155,0.244698931433269,0.00612817506213508,2.50437344627567,38,38.1,36.5,34.8,23,55.1,43.3
"URY",711,19,2020-05-11,60,3461734,0.205388397837615,0.00548857884516835,2.67229254571027,41.3,44,33.5,41.3,24.1,39.3,74.8
"USA",34855,576,2020-03-22,60,328239523,0.106187700010763,0.00175481610116768,1.65256060823411,83.5,83.1,98.2,79.7,73.8,85.3,78.2
