"","country_code","date","cases","deaths","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","pop_2019","is_island","cases_per_capita","deaths_per_capita","case_fatality_ratio"
"37","COG",2020-12-31,7107,108,23.6,17.6,7,23.6,6.3,56.8,38.1,5380508000,FALSE,1.32087899506887e-06,2.00724541251495e-08,65.8055555555556
"38","COL",2020-12-31,1642775,43213,44.2,37.2,41.7,43.5,34.3,60.1,51,50339443000,FALSE,3.26339526641167e-05,8.58432223813045e-07,38.0157591465531
"39","COM",2020-12-31,823,10,27.2,19.2,23.2,27.1,9.4,51.6,36.5,850886000,TRUE,9.67227102102984e-07,1.17524556756134e-08,82.3
"40","CPV",2020-12-31,11840,113,29.3,27.9,9.3,32.7,16.1,33.9,67.4,549935000,TRUE,2.15298171602098e-05,2.05478829316192e-07,104.778761061947
"41","CRI",2020-12-31,169321,2185,45.1,44.2,56,36.6,24.8,43.1,71.7,5047561000,FALSE,3.35451121838845e-05,4.32882336637437e-07,77.4924485125858
"42","CUB",2020-12-31,11863,146,35.2,41.4,10.5,25.9,37.4,49.8,57.8,11333483000,TRUE,1.04672147123704e-06,1.28821828205857e-08,81.2534246575343
"43","CYP",2020-12-31,22019,119,43,46.4,44.9,33.9,21.9,49.1,69.6,1198575000,TRUE,1.83709822080387e-05,9.92845670900861e-08,185.033613445378
"44","CZE",2020-12-31,718661,11580,52,51.1,50.7,46.6,37.4,58.9,74,10669709000,FALSE,6.73552577675736e-05,1.08531544768466e-06,62.0605354058722
"45","DEU",2020-12-31,1760520,33791,66,66.5,84.6,54.8,48.2,61.9,82.3,83132799000,FALSE,2.11772010707831e-05,4.06470134609566e-07,52.1002633837412
"46","DJI",2020-12-31,5831,61,23.2,16.3,17,23.2,9.3,36.3,42.7,973560000,FALSE,5.98935864250791e-06,6.265664160401e-08,95.5901639344262
"47","DMA",2020-12-31,88,0,24,11.2,10.7,20.9,8.5,49.3,54,71808000,TRUE,1.22549019607843e-06,0,Inf
"48","DNK",2020-12-31,164116,1298,70.4,72.9,86,58.4,63.8,62.6,80.3,5818553000,FALSE,2.82056380684339e-05,2.23079518223861e-07,126.437596302003
"49","DOM",2020-12-31,170785,2414,38.3,30.5,37.1,47.3,16.1,43.5,59.3,10738958000,TRUE,1.59033120345568e-05,2.24789034466845e-07,70.7477216238608
"50","DZA",2020-12-31,99610,2756,23.6,25.7,12,19.6,13.1,29.1,51.4,43053054000,FALSE,2.31365700560987e-06,6.40140418377753e-08,36.1429608127721
"51","ECU",2020-12-31,212512,14034,50.1,53.9,71.2,39.5,35.2,43.5,57.1,17373662000,FALSE,1.2231848415147e-05,8.07774434658623e-07,15.1426535556506
"52","EGY",2020-12-31,138062,7631,39.9,36.5,41.5,45,15.7,46.4,57.5,100388073000,FALSE,1.3752828983977e-06,7.60150062846609e-08,18.0922552745381
"53","ERI",2020-12-31,1320,3,22.4,23.4,17.2,16,9.7,40,33.2,NA,FALSE,NA,NA,NA
"54","ESP",2020-12-31,1928265,50837,65.9,52.9,83,61.9,59.6,61.1,77.1,47076781000,FALSE,4.09600010671928e-05,1.07987417406471e-06,37.9303460078289
"55","EST",2020-12-31,27990,229,57,47.6,77.6,47,31.6,67.6,73.3,1326590000,FALSE,2.10992092507858e-05,1.72623041030009e-07,122.227074235808
"56","ETH",2020-12-31,124264,1923,40.6,36.8,33.7,44.7,29,65.8,33.6,112078730000,FALSE,1.10872062879371e-06,1.71575819961557e-08,64.6198647945918
"57","FIN",2020-12-31,36107,561,68.7,68.5,61.6,69.2,60.8,75.4,81.1,5520314000,FALSE,6.54075112393969e-06,1.01624653959902e-07,64.3618538324421
"58","FJI",2020-12-31,49,2,25.7,24.6,16.4,28.3,7.5,27.4,59.1,889953000,TRUE,5.50590873900082e-08,2.24730968938809e-09,24.5
"59","FRA",2020-12-31,2677666,64759,68.2,71.2,75.3,62.9,60.9,58.6,83,67059887000,FALSE,3.99294737851258e-05,9.65689071322175e-07,41.3481678222332
"60","FSM",2020-12-31,0,0,32.8,21,14.2,56.9,18.8,36.3,53.1,113815000,TRUE,0,0,NA
"61","GAB",2020-12-31,9571,64,20,10.8,6.1,20.6,11.2,36.5,42.8,2172579000,FALSE,4.40536339530116e-06,2.94580772436814e-08,149.546875
"62","GBR",2020-12-31,2496231,73622,77.9,68.3,87.3,91.9,59.8,81.2,74.7,66834405000,TRUE,3.73494908797348e-05,1.10155839645763e-06,33.9060471054848
"63","GEO",2020-12-31,227420,2505,52,53.2,75,37.1,38.3,56,51.4,3720382000,FALSE,6.11281314660699e-05,6.73317954984192e-07,90.7864271457086
"64","GHA",2020-12-31,54771,335,35.5,32.2,40.5,31.5,23.4,38,51,30417856000,FALSE,1.80062000425014e-06,1.10132679962717e-08,163.49552238806
"65","GIN",2020-12-31,13722,81,32.7,27,57.2,23,8,47.8,31.3,12771246000,FALSE,1.07444488971554e-06,6.34237254532565e-09,169.407407407407
"66","GMB",2020-12-31,3797,124,34.2,22,36.9,34.2,23.5,44.2,47.3,2347706000,FALSE,1.61732346384087e-06,5.2817516332965e-08,30.6209677419355
"67","GNB",2020-12-31,2452,45,20,14,23.4,17.8,4.6,37.6,24.1,1920922000,FALSE,1.27647036162843e-06,2.34262505192819e-08,54.4888888888889
"68","GNQ",2020-12-31,5277,86,16.2,1.9,4.4,17.6,5,33.5,43.6,1355986000,FALSE,3.89163309945678e-06,6.34224837129587e-08,61.3604651162791
"69","GRC",2020-12-31,138850,4838,53.8,54.2,78.4,44,37.6,49.1,58.2,10716322000,FALSE,1.29568708368412e-05,4.51460865024399e-07,28.6998759818107
