"","country_code","date","cases","deaths","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","pop_2019","is_island","cases_per_capita","deaths_per_capita","case_fatality_ratio"
"162","SYC",2020-12-31,256,0,31.9,9.8,33.4,20.7,19.9,47.1,71.1,97625000,TRUE,2.62227912932138e-06,0,Inf
"163","SYR",2020-12-31,11434,711,19.9,18.4,2.7,23,24.4,26.1,29.6,17070135000,FALSE,6.69824813922093e-07,4.1651691682579e-08,16.0815752461322
"164","TCD",2020-12-31,2113,104,28.8,23.2,36.5,34.5,6.6,46.2,23.7,15946876000,FALSE,1.32502441230496e-07,6.52165352010011e-09,20.3173076923077
"165","TGO",2020-12-31,3633,68,32.5,23.7,46.8,30.4,10,46.3,37.6,8082366000,FALSE,4.49497090332212e-07,8.41337796382891e-09,53.4264705882353
"166","THA",2020-12-31,7163,63,73.2,75.7,81,78.6,70.5,70.9,56.4,69625582000,FALSE,1.02878852775694e-07,9.04839833152131e-10,113.698412698413
"167","TJK",2020-12-31,13296,90,32.3,26.7,24.1,42.9,20.5,42.6,38.2,9321018000,FALSE,1.42645363414168e-06,9.65559770402761e-09,147.733333333333
"168","TLS",2020-12-31,44,0,26,18.2,25.7,30.2,9.7,33.9,41.5,1293119000,TRUE,3.40262574442105e-08,0,Inf
"169","TTO",2020-12-31,7150,127,36.6,28.1,14.7,43.2,23.7,55.1,64.4,1394973000,TRUE,5.12554723281382e-06,9.1041188610819e-08,56.2992125984252
"170","TUN",2020-12-31,139140,4676,33.7,31.7,26.3,39.1,24,31,55.7,11694719000,FALSE,1.18976779176994e-05,3.99838593813156e-07,29.7562018819504
"171","TUR",2020-12-31,2208652,20881,52.4,56.9,45.6,49,45.7,64.3,56.5,83429615000,FALSE,2.64732373510294e-05,2.50282828225924e-07,105.773286719985
"172","TWN",2020-12-31,799,7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"173","TZA",2020-12-31,509,21,36.4,33.5,42,36.8,8.2,55.4,44.7,58005463000,FALSE,8.77503555139281e-09,3.62034865578092e-10,24.2380952380952
"174","UGA",2020-12-31,35216,251,44.3,42.7,50.3,56.5,11.6,65.4,35.5,44269594000,FALSE,7.95489563333244e-07,5.66980578136768e-09,140.302788844622
"175","UKR",2020-12-31,1086997,19281,38,38.1,36.5,34.8,23,55.1,43.3,44385155000,FALSE,2.44901026029987e-05,4.3440199769495e-07,56.3765883512266
"176","URY",2020-12-31,19119,181,41.3,44,33.5,41.3,24.1,39.3,74.8,3461734000,FALSE,5.52295468109335e-06,5.22859353144985e-08,105.629834254144
"177","USA",2020-12-31,20060595,345955,83.5,83.1,98.2,79.7,73.8,85.3,78.2,328239523000,FALSE,6.11157206684096e-05,1.05397118798518e-06,57.986139815872
"178","UZB",2020-12-31,77060,614,34.3,42.6,19.4,27.8,16,60.5,47.8,33580650000,FALSE,2.29477392486447e-06,1.82843393442354e-08,125.504885993485
"179","VAT",2020-12-31,27,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"180","VCT",2020-12-31,121,0,33,20,20.6,29.2,19,58,61.7,110589000,TRUE,1.09414137029904e-06,0,Inf
"181","VEN",2020-12-31,113558,1028,23,23.5,8.7,19.7,12.9,42.2,38.2,28515829000,FALSE,3.98227945608735e-06,3.60501530570968e-08,110.464980544747
"182","VNM",2020-12-31,1465,35,49.1,49.5,57.4,43,28.3,64.6,53.4,96462106000,FALSE,1.51873109633331e-08,3.62836780693965e-10,41.8571428571429
"183","VUT",2020-12-31,1,0,26.1,24.5,15,24.8,6.6,38,57.4,299882000,TRUE,3.33464496035107e-09,0,Inf
"184","WSM",2020-12-31,2,0,26.4,20.2,14.1,28.9,9.2,30.7,66.1,197097000,TRUE,1.01472878836309e-08,0,Inf
"185","YEM",2020-12-31,2099,610,18.5,15.1,9,19,7.6,40.3,23.5,29161922000,FALSE,7.19774231616146e-08,2.09176884843187e-08,3.44098360655738
"186","ZAF",2020-12-31,1057161,28469,54.8,44.8,81.5,57.7,33,46.3,61.8,58558270000,FALSE,1.80531460372719e-05,4.86165318750025e-07,37.1337595279075
"187","ZMB",2020-12-31,20725,388,28.7,24.5,21.9,28.6,20.3,38,44.2,17861030000,FALSE,1.16034741557458e-06,2.17232712783081e-08,53.4149484536082
"188","ZWE",2020-12-31,13867,363,38.2,31.4,65.6,30.1,14.7,45.9,39.2,14645468000,FALSE,9.46845809229176e-07,2.47858245294722e-08,38.2011019283747
