"country","gdp_pc","country_code"
"Tunisia",3317.453593,"TUN"
"Turkey",9126.561346,"TUR"
"Turks and Caicos Islands",31353.32932,"TCA"
"Tuvalu",4059.029996,"TUV"
"Uganda",794.3410779,"UGA"
"Ukraine",3659.031312,"UKR"
"United Arab Emirates",43103.32306,"ARE"
"United Kingdom",42330.11754,"GBR"
"United States",65297.51751,"USA"
"Uruguay",16190.12696,"URY"
"Uzbekistan",1724.841134,"UZB"
"Vanuatu",3115.35862,"VUT"
"Vietnam",2715.276036,"VNM"
"Yemen, Rep.",774.3344898,"YEM"
"Zambia",1305.063254,"ZMB"
"Zimbabwe",1463.98591,"ZWE"
