"country","overall","country.1","prev_emergence_pathogens","country.2","early_detection","country.3","rapid_response","country.4","robust_health_sector","country.5","commitments","country.6","risk_environment","country_code"
"Congo (Brazzaville)",23.6,"Somalia",15.8,"Algeria",12,"Dominica",20.9,"Dominica",8.5,"Kiribati",32.3,"Nigeria",33.7,"COG"
"Congo (Democratic Republic)",26.5,"Tonga",19.8,"Angola",17.9,"Afghanistan",23.6,"Jamaica",10,"Monaco",35.3,"Papua New Guinea",38.7,"COD"
"Cook Islands",20.4,"Papua New Guinea",10,"Congo (Brazzaville)",7,"Libya",18.9,"St Kitts and Nevis",7.1,"Mauritius",29.1,"Haiti",28.9,"COK"
"Costa Rica",45.1,"Russia",42.9,"Uganda",50.3,"Ireland",45.1,"Iran",34.6,"Côte d'Ivoire",53.6,"Botswana",62.4,"CRI"
"Côte d'Ivoire",35.5,"Dominican Republic",30.5,"Dominican Republic",37.1,"Benin",34.1,"Tajikistan",20.5,"Grenada",46.4,"Dominica",54,"CIV"
"Croatia",53.3,"Indonesia",50.2,"Zimbabwe",65.6,"Morocco",51.5,"Singapore",41.4,"Belgium",59.7,"Chile",70.1,"HRV"
"Cuba",35.2,"Cambodia",28.6,"Ukraine",36.5,"Brunei",33.4,"Seychelles",19.9,"Chad",46.2,"Belize",53,"CUB"
"Cyprus",43,"Ethiopia",36.8,"Afghanistan",44.8,"El Salvador",42.1,"Kazakhstan",28,"Comoros",51.6,"Montenegro",58.8,"CYP"
"Czech Republic",52,"Romania",48.9,"Belgium",62.5,"Kuwait",50.2,"Indonesia",39.4,"Hungary",58.9,"Croatia",68.2,"CZE"
"Denmark",70.4,"Australia",68.9,"Netherlands",86,"Portugal",67.7,"France",60.9,"Lithuania",72.1,"Monaco",83.1,"DNK"
"Djibouti",23.2,"Yemen",15.1,"Burundi",11.4,"San Marino",20.8,"Tanzania",8.2,"Nauru",32,"Cameroon",33.6,"DJI"
"Dominica",24,"Benin",16.5,"Micronesia",14.2,"Bulgaria",21.7,"Burundi",8.9,"South Sudan",32.6,"North Korea",35.6,"DMA"
"Dominican Republic",38.3,"Tanzania",33.5,"Bosnia and Herzegovina",41.7,"Sudan",37.3,"Tunisia",24,"Croatia",49.1,"Turkey",56.5,"DOM"
"Ecuador",50.1,"Italy",47.5,"Finland",61.6,"United Arab Emirates",49.7,"Bosnia and Herzegovina",38.3,"Malaysia",58.5,"Poland",67.9,"ECU"
"Egypt",39.9,"AVERAGE",34.8,"Iraq",42.2,"Pakistan",38.7,"Syria",24.4,"Belize",49.3,"Ecuador",57.1,"EGY"
"El Salvador",44.2,"Argentina",41.4,"Kuwait",47.5,"Greece",44,"Estonia",31.6,"Austria",52.8,"Kuwait",61.5,"SLV"
"Equatorial Guinea",16.2,"Equatorial Guinea",1.9,"Syria",2.7,"North Korea",11.3,"Somalia",0.3,"Brunei",23.3,"Somalia",15.9,"GNQ"
"Eritrea",22.4,"Tuvalu",13.1,"Cabo Verde",9.3,"Gabon",20.6,"Yemen",7.6,"Tunisia",31,"Sudan",33,"ERI"
"Estonia",57,"Ecuador",53.9,"Malaysia",73.2,"Latvia",54.7,"Nicaragua",45.9,"Germany",61.9,"Slovenia",73.7,"EST"
"eSwatini (Swaziland)",31.1,"Afghanistan",23.5,"Mali",25.5,"Barbados",27.2,"Mali",13,"Papua New Guinea",41.4,"Lesotho",44.5,"SWZ"
"Ethiopia",40.6,"Iceland",35.3,"Moldova",42.9,"Israel",39.9,"Oman",25.4,"Cuba",49.8,"North Macedonia",57.7,"ETH"
"Fiji",25.7,"Burkina Faso",18,"Tonga",15,"Malta",22.4,"Andorra",9.2,"Nepal",33.5,"Malawi",37.6,"FJI"
"Finland",68.7,"United Kingdom",68.3,"Germany",84.6,"Australia",65.9,"Belgium",60.5,"Liberia",71.5,"Canada",82.7,"FIN"
"France",68.2,"Norway",68.2,"Spain",83,"Singapore",64.6,"United Kingdom",59.8,"Sweden",71.3,"Germany",82.3,"FRA"
"Gabon",20,"Mauritania",9.9,"North Korea",7,"São Tomé and Príncipe",18.7,"Chad",6.6,"Iran",28.7,"Niger",28.5,"GAB"
"Gambia",34.2,"Lebanon",27.3,"Ethiopia",33.7,"Ghana",31.5,"Azerbaijan",17.9,"Niger",45.5,"Bolivia",50.9,"GMB"
"Georgia",52,"Serbia",48.8,"Lebanon",62,"Russia",50.1,"Chile",39.3,"Poland",58.9,"Hungary",68.2,"GEO"
"Germany",66,"Ireland",63.9,"South Africa",81.5,"Sweden",62.8,"Norway",58.5,"Argentina",68.8,"Finland",81.1,"DEU"
"Ghana",35.5,"Myanmar",30.3,"Gambia",36.9,"Slovakia",34.1,"Zambia",20.3,"St Kitts and Nevis",46.4,"Indonesia",53.7,"GHA"
"Greece",53.8,"Poland",50.9,"Indonesia",68.1,"Peru",51.7,"Israel",42.2,"Cameroon",59.9,"Seychelles",71.1,"GRC"
"Grenada",27.5,"Micronesia",21,"Antigua and Barbuda",19.1,"Palau",24.5,"Angola",10.9,"Djibouti",36.3,"Mauritania",39.5,"GRD"
"Guatemala",32.7,"Malawi",25.5,"Papua New Guinea",31.8,"Timor-Leste",30.2,"Cabo Verde",16.1,"Mozambique",43.8,"Philippines",50.3,"GTM"
"Guinea",32.7,"Senegal",25.4,"United Arab Emirates",31.6,"Zimbabwe",30.1,"Dominican Republic",16.1,"Dominican Republic",43.5,"Guatemala",49.1,"GIN"
"Guinea-Bissau",20,"Seychelles",9.8,"Sudan",7,"Solomon Islands",18.7,"Vanuatu",6.6,"Tuvalu",28.6,"Burundi",28.3,"GNB"
"Guyana",31.7,"Angola",24,"Timor-Leste",25.7,"Fiji",28.3,"South Sudan",13.6,"Sri Lanka",41.7,"Nepal",44.7,"GUY"
"Haiti",31.5,"Congo (Democratic Republic)",24,"eSwatini (Swaziland)",25.5,"Uzbekistan",27.8,"Botswana",13.3,"Israel",41.5,"Tanzania",44.7,"HTI"
"Honduras",27.6,"Guatemala",21.2,"Uzbekistan",19.4,"Jamaica",24.7,"Gabon",11.2,"Gabon",36.5,"Honduras",39.5,"HND"
"Hungary",54,"Malaysia",51.4,"Japan",70.1,"Laos",52,"Saudi Arabia",44.8,"Colombia",60.1,"Japan",71.7,"HUN"
"Iceland",46.3,"Nepal",43.7,"Israel",52.4,"Central African Republic",46.6,"Moldova",36.4,"Trinidad and Tobago",55.1,"China",64.4,"ISL"
"India",46.5,"Albania",43.8,"Bulgaria",53.3,"Belarus",46.6,"Kuwait",36.5,"Antigua and Barbuda",55.1,"St Kitts and Nevis",64.8,"IND"
"Indonesia",56.6,"Slovakia",53.5,"Chile",72.7,"Indonesia",54.3,"China",45.7,"Italy",61.9,"Estonia",73.3,"IDN"
"Iran",37.7,"Jordan",31.8,"Oman",41.1,"Guyana",36.2,"Ukraine",23,"AVERAGE",48.5,"Paraguay",55.9,"IRN"
"Iraq",25.8,"Timor-Leste",18.2,"St Kitts and Nevis",15,"Syria",23,"Djibouti",9.3,"Equatorial Guinea",33.5,"Congo (Brazzaville)",38.1,"IRQ"
"Ireland",59,"Chile",56.2,"Argentina",74.9,"South Africa",57.7,"Latvia",47.3,"South Korea",64.3,"New Zealand",77.2,"IRL"
"Israel",47.3,"Bolivia",44,"Costa Rica",56,"Dominican Republic",47.3,"Italy",36.8,"Oman",56,"Romania",65.7,"ISR"
"Italy",56.2,"Georgia",53.2,"Croatia",72.3,"Japan",53.6,"Turkey",45.7,"Bulgaria",61.5,"United Arab Emirates",72.4,"ITA"
"Jamaica",29,"South Sudan",22.6,"Comoros",23.2,"Turkmenistan",26,"Nauru",12,"Ghana",38,"Gabon",42.8,"JAM"
"Japan",59.8,"Armenia",56.7,"France",75.3,"New Zealand",58.1,"Poland",48.9,"Vietnam",64.6,"Ireland",77.4,"JPN"
"Jordan",42.1,"Montenegro",36.5,"Côte d'Ivoire",44.5,"Oman",41.6,"Bahrain",27.7,"Malawi",50.7,"Greece",58.2,"JOR"
"Kazakhstan",40.7,"Bhutan",35.5,"Jordan",42.9,"Maldives",40.2,"North Macedonia",25.4,"Armenia",50.1,"Cuba",57.8,"KAZ"
"Kenya",47.1,"Israel",44,"Hungary",55.5,"Suriname",47.3,"Romania",36.7,"Madagascar",55.4,"Italy",65.5,"KEN"
"Kiribati",19.2,"St Kitts and Nevis",8.7,"Equatorial Guinea",4.4,"Marshall Islands",18.1,"Congo (Brazzaville)",6.3,"Bahrain",27.8,"Chad",23.7,"KIR"
"Kuwait",46.1,"Lithuania",43.5,"Bangladesh",50.9,"Czech Republic",46.6,"Albania",35.9,"Ukraine",55.1,"Trinidad and Tobago",64.4,"KWT"
"Kyrgyz Republic",49.3,"Cyprus",46.4,"Myanmar",59.2,"China",48.6,"Philippines",38.2,"Senegal",57,"Cabo Verde",67.4,"KGZ"
"Laos",43.1,"Bulgaria",37.6,"Sierra Leone",45.8,"Vietnam",43,"Ethiopia",29,"Russia",52.6,"Dominican Republic",59.3,"LAO"
"Latvia",62.9,"Kazakhstan",58.8,"Greece",78.4,"Canada",60.7,"Portugal",55,"Ethiopia",65.8,"Denmark",80.3,"LVA"
"Lebanon",43.1,"Mongolia",37.6,"Turkey",45.6,"Tajikistan",42.9,"Vietnam",28.3,"Bangladesh",52.5,"Serbia",59.2,"LBN"
