"country","overall","country.1","prev_emergence_pathogens","country.2","early_detection","country.3","rapid_response","country.4","robust_health_sector","country.5","commitments","country.6","risk_environment","country_code"
"Switzerland",67,"Germany",66.5,"Lithuania",81.5,"France",62.9,"South Korea",58.7,"Japan",70,"Iceland",81.2,"CHE"
"Syria",19.9,"Nauru",9.1,"Gabon",6.1,"Mozambique",18.2,"eSwatini (Swaziland)",6.5,"Somalia",28.5,"Guinea-Bissau",24.1,"SYR"
"Tajikistan",32.3,"Fiji",24.6,"Liberia",29.1,"Bolivia",29.2,"Bolivia",14.9,"Tajikistan",42.6,"Gambia",47.3,"TJK"
"Tanzania",36.4,"Zimbabwe",31.4,"Turkmenistan",38.6,"Ukraine",34.8,"Cameroon",21.4,"Singapore",47.3,"AVERAGE",55,"TZA"
"Thailand",73.2,"France",71.2,"United Kingdom",87.3,"South Korea",71.5,"Australia",63.5,"Mexico",73.9,"Sweden",84.5,"THA"
"Timor-Leste",26,"Syria",18.4,"South Sudan",15.9,"Guinea",23,"Comoros",9.4,"Tonga",33.9,"Venezuela",38.2,"TLS"
"Togo",32.5,"Brunei",24.8,"St Lucia",30.3,"Mali",29.5,"Malawi",15.3,"Costa Rica",43.1,"El Salvador",48,"TGO"
"Tonga",25.1,"Congo (Brazzaville)",17.6,"Andorra",14.2,"Antigua and Barbuda",21.7,"Niue",9.1,"Qatar",32.7,"Comoros",36.5,"TON"
"Trinidad and Tobago",36.6,"Tunisia",31.7,"Nicaragua",39.9,"Mauritius",34.9,"Cyprus",21.9,"Guinea",47.8,"Albania",55.7,"TTO"
"Tunisia",33.7,"Mozambique",26.5,"Bolivia",33.1,"Namibia",30.9,"Sri Lanka",16.9,"Central African Republic",44.2,"Guyana",50.5,"TUN"
"Turkey",52.4,"Japan",49.3,"Singapore",64.5,"Argentina",50.6,"Belarus",40.6,"Myanmar",59.1,"Cyprus",69.6,"TUR"
"Turkmenistan",31.8,"Pakistan",24.1,"Tunisia",26.3,"Grenada",28.4,"Sudan",14.3,"Honduras",41.8,"Kiribati",45,"TKM"
"Tuvalu",21.6,"Niue",11,"Palau",8.8,"Algeria",19.6,"Antigua and Barbuda",7.4,"Cook Islands",29.9,"Mali",32.1,"TUV"
"Uganda",44.3,"Uzbekistan",42.6,"China",48.5,"Sierra Leone",44.8,"Colombia",34.3,"Mali",53.2,"South Africa",61.8,"UGA"
"Ukraine",38,"Niger",32.5,"North Macedonia",41.7,"Tanzania",36.8,"Malta",23.6,"Malta",49.1,"Palau",56.2,"UKR"
"United Arab Emirates",46.7,"Uruguay",44,"Montenegro",55.4,"Estonia",47,"Hungary",36.6,"Tanzania",55.4,"Antigua and Barbuda",65.2,"ARE"
"United Kingdom",77.9,"Sweden",81.1,"Australia",97.3,"United States",79.7,"Thailand",70.5,"United Kingdom",81.2,"Norway",87.1,"GBR"
"United States",83.5,"United States",83.1,"United States",98.2,"United Kingdom",91.9,"United States",73.8,"United States",85.3,"Liechtenstein",87.9,"USA"
"Uruguay",41.3,"Bahrain",36,"Niger",44.4,"Uruguay",41.3,"AVERAGE",26.4,"Saudi Arabia",50.6,"Niue",57.9,"URY"
"Uzbekistan",34.3,"Bangladesh",27.3,"Russia",34.1,"Montenegro",32.1,"Senegal",18.5,"Zimbabwe",45.9,"Colombia",51,"UZB"
"Vanuatu",26.1,"Laos",18.9,"Fiji",16.4,"Bangladesh",23.1,"Timor-Leste",9.7,"Timor-Leste",33.9,"Tajikistan",38.2,"VUT"
"Venezuela",23,"Liberia",14.3,"Dominica",10.7,"Malawi",20.7,"Guinea",8,"Palau",32,"Ethiopia",33.6,"VEN"
"Vietnam",49.1,"China",45,"Cambodia",57.7,"Jordan",47.8,"Greece",37.6,"Moldova",56.7,"Bulgaria",66.3,"VNM"
"Yemen",18.5,"Grenada",8.6,"Kiribati",4.4,"Guinea-Bissau",17.8,"St Lucia",6.3,"Fiji",27.4,"Yemen",23.5,"YEM"
"Zambia",28.7,"Botswana",22,"Bahamas",21.8,"Belize",25.5,"Papua New Guinea",11.6,"Bosnia and Herzegovina",37.8,"Angola",42.2,"ZMB"
"Zimbabwe",38.2,"Qatar",33.1,"Luxembourg",41.7,"Kenya",37.1,"Trinidad and Tobago",23.7,"Greece",49.1,"Brazil",56.2,"ZWE"
