"country","pop_2019","country_code"
"Timor-Leste",1293119,"TLS"
"Togo",8082366,"TGO"
"Tonga",104494,"TON"
"Trinidad and Tobago",1394973,"TTO"
"Tunisia",11694719,"TUN"
"Turkey",83429615,"TUR"
"Turkmenistan",5942089,"TKM"
"Turks and Caicos Islands",38191,"TCA"
"Tuvalu",11646,"TUV"
"Uganda",44269594,"UGA"
"Ukraine",44385155,"UKR"
"United Arab Emirates",9770529,"ARE"
"United Kingdom",66834405,"GBR"
"United States",328239523,"USA"
"Uruguay",3461734,"URY"
"Uzbekistan",33580650,"UZB"
"Vanuatu",299882,"VUT"
"Venezuela, RB",28515829,"VEN"
"Vietnam",96462106,"VNM"
"Virgin Islands (U.S.)",106631,"VIR"
"Yemen, Rep.",29161922,"YEM"
"Zambia",17861030,"ZMB"
"Zimbabwe",14645468,"ZWE"
