country,overall,country,prev_emergence_pathogens,country,early_detection,country,rapid_response,country,robust_health_sector,country,commitments,country,risk_environment
Austria,58.5,Croatia,55.2,El Salvador,73.9,Armenia,55.5,Japan,46.6,Peru,63,United Kingdom,74.7
Chile,58.3,New Zealand,55,Slovenia,73.7,Serbia,55.1,Croatia,46.5,Portugal,63,South Korea,74.1
Mexico,57.6,Greece,54.2,Austria,73.2,Germany,54.8,Iceland,46.4,Denmark,62.6,Czech Republic,74
Estonia,57,Ecuador,53.9,Malaysia,73.2,Latvia,54.7,Nicaragua,45.9,Germany,61.9,Slovenia,73.7
Indonesia,56.6,Slovakia,53.5,Chile,72.7,Indonesia,54.3,China,45.7,Italy,61.9,Estonia,73.3
Italy,56.2,Georgia,53.2,Croatia,72.3,Japan,53.6,Turkey,45.7,Bulgaria,61.5,United Arab Emirates,72.4
Poland,55.4,Spain,52.9,Ecuador,71.2,India,52.4,New Zealand,45.2,Netherlands,61.1,Malta,72.3
Lithuania,55,Portugal,52.8,Mexico,71.2,Hungary,52.2,Brazil,45,Spain,61.1,Malaysia,72
South Africa,54.8,Switzerland,52.7,Laos,70.4,Albania,52,Peru,45,Uzbekistan,60.5,Costa Rica,71.7
Hungary,54,Malaysia,51.4,Japan,70.1,Laos,52,Saudi Arabia,44.8,Colombia,60.1,Japan,71.7
New Zealand,54,Czech Republic,51.1,Kenya,68.6,Bosnia and Herzegovina,51.8,India,42.7,Cambodia,60,Slovakia,71.5
Greece,53.8,Poland,50.9,Indonesia,68.1,Peru,51.7,Israel,42.2,Cameroon,59.9,Seychelles,71.1
Croatia,53.3,Indonesia,50.2,Zimbabwe,65.6,Morocco,51.5,Singapore,41.4,Belgium,59.7,Chile,70.1
Albania,52.9,Vietnam,49.5,Kyrgyz Republic,64.7,Mexico,50.8,Bulgaria,41,New Zealand,59.4,Barbados,69.9
Turkey,52.4,Japan,49.3,Singapore,64.5,Argentina,50.6,Belarus,40.6,Myanmar,59.1,Cyprus,69.6
Serbia,52.3,United Arab Emirates,49.3,Philippines,63.6,Myanmar,50.4,Ireland,40.2,Czech Republic,58.9,Israel,68.8
Czech Republic,52,Romania,48.9,Belgium,62.5,Kuwait,50.2,Indonesia,39.4,Hungary,58.9,Croatia,68.2
Georgia,52,Serbia,48.8,Lebanon,62,Russia,50.1,Chile,39.3,Poland,58.9,Hungary,68.2
Armenia,50.2,Estonia,47.6,Poland,61.7,Kyrgyz Republic,49.9,Qatar,38.8,France,58.6,Qatar,68
Ecuador,50.1,Italy,47.5,Finland,61.6,United Arab Emirates,49.7,Bosnia and Herzegovina,38.3,Malaysia,58.5,Poland,67.9
Mongolia,49.5,Moldova,46.5,Armenia,60.8,Turkey,49,Georgia,38.3,St Vincent and The Grenadines,58,Lithuania,67.8
Kyrgyz Republic,49.3,Cyprus,46.4,Myanmar,59.2,China,48.6,Philippines,38.2,Senegal,57,Cabo Verde,67.4
Saudi Arabia,49.3,Kenya,45.9,Switzerland,59.1,Qatar,48,Luxembourg,37.9,Liechtenstein,56.9,Latvia,67.2
Peru,49.2,Mexico,45.5,Norway,58.6,Lebanon,47.9,Slovakia,37.9,Congo (Brazzaville),56.8,Brunei,66.7
Vietnam,49.1,China,45,Cambodia,57.7,Jordan,47.8,Greece,37.6,Moldova,56.7,Bulgaria,66.3
China,48.2,South Africa,44.8,Vietnam,57.4,Italy,47.5,Russia,37.6,Nigeria,56.7,Mauritius,66.2
Slovakia,47.9,Iran,44.7,Guinea,57.2,Poland,47.5,Cuba,37.4,Afghanistan,56.3,Samoa,66.1
Philippines,47.6,Costa Rica,44.2,Morocco,56.8,Belgium,47.3,Czech Republic,37.4,Georgia,56,Oman,65.7
